line_id,order_id,category,quantity,amount
168,1062,Bikes,4,146.83
169,1062,Clothing,5,186.41
170,1062,Bikes,3,1479.38
171,1063,Components,2,988.24
172,1063,Clothing,4,800.88
173,1063,Clothing,3,1351.33
174,1063,Accessories,4,1083.93
175,1064,Accessories,3,1709.94
176,1065,Bikes,4,1848.65
177,1066,Clothing,2,790.87
178,1066,Clothing,3,1940.13
179,1067,Clothing,2,1556.35
180,1068,Clothing,1,411.3
181,1069,Accessories,5,1027.05
182,1069,Accessories,2,1791.15
183,1070,Accessories,3,979.83
184,1070,Accessories,3,1327.3
185,1070,Bikes,4,1727.9
186,1071,Accessories,5,1593.52
187,1071,Clothing,1,1321.96
188,1072,Accessories,5,1752.16
189,1072,Accessories,2,1548.43
190,1073,Clothing,5,1078.46
191,1073,Components,5,1545.35
192,1074,Components,1,716.42
193,1074,Bikes,4,1393.51
194,1075,Bikes,2,845.6
195,1075,Bikes,4,432.65
196,1075,Accessories,5,998.48
197,1076,Clothing,1,1380.45
198,1077,Bikes,4,44.45
199,1077,Accessories,4,490.21
200,1077,Bikes,4,1548.21
201,1077,Components,5,321.22
202,1078,Clothing,4,1120.06
203,1078,Bikes,3,393.54
204,1078,Accessories,1,672.21
205,1079,Bikes,2,1251.01
206,1080,Components,2,816.51
207,1080,Accessories,5,1413.79
208,1081,Bikes,4,825.55
209,1081,Bikes,3,1842.82
210,1082,Bikes,4,1233.93
211,1082,Clothing,2,1327.25
212,1082,Bikes,3,675.41
213,1082,Clothing,3,1308.43
214,1083,Clothing,3,1653.87
215,1083,Components,3,1537.7
216,1084,Bikes,2,1557.7
217,1084,Components,2,966.21
218,1085,Bikes,3,547.01
219,1085,Bikes,4,1947.69
220,1085,Components,2,1810.03
221,1086,Components,1,1869.3
222,1086,Bikes,3,1376.44
223,1086,Clothing,2,1521.48
224,1087,Bikes,4,83.4
225,1087,Components,2,629.15
226,1088,Bikes,2,415.08
227,1088,Accessories,1,303.11
228,1088,Accessories,1,1147.64
229,1088,Components,3,1049.15
230,1089,Accessories,4,1208.18
231,1089,Accessories,3,834.62
232,1090,Clothing,5,1050.94
233,1091,Bikes,3,1456.65
234,1091,Accessories,4,1203.09
235,1091,Clothing,5,1756.57
236,1092,Components,5,1748.64
237,1092,Bikes,4,1395.91
238,1092,Components,5,626.47
239,1092,Accessories,2,1761.91
240,1093,Components,2,1306.02
241,1093,Accessories,5,262.9
242,1093,Bikes,1,1048.89
243,1093,Components,1,1766.7
